Day	Date	Safe to cross	Unsafe to cross	Safe to cross	Unsafe to cross
Tue	1st	09:25 until 15:10	15:10 until 22:00	22:00 until 03:50 (Wed)	03:50 (Wed) until 09:50 (Wed)
Wed	2nd	09:50 until 16:05	16:05 until 22:20	22:20 until 04:50 (Thu)	04:50 (Thu) until 10:05 (Thu)
Thu	3rd	10:05 until 17:15	17:15 until 22:40	22:40 until 05:55 (Fri)	05:55 (Fri) until 10:25 (Fri)
Fri	4th	10:25 until 18:30	18:30 until 23:00	23:00 until 07:10 (Sat)	07:10 (Sat) until 11:00 (Sat)
Sat	5th	11:00 until 20:00	20:00 until 23:45	23:45 until 08:35 (Sun)	08:35 (Sun) until 12:05 (Sun)
Sun	6th	12:05 until 21:35	21:35 until 01:05 (Mon)	01:05 (Mon) until 10:00 (Mon)	10:00 (Mon) until 13:35 (Mon)
Mon	7th	01:05 until 10:00	10:00 until 13:35	13:35 until 22:55	22:55 until 02:45 (Tue)
Tue	8th	02:45 until 11:10	11:10 until 15:10	15:10 until 23:45	23:45 until 04:05 (Wed)
Wed	9th	04:05 until 11:55	11:55 until 16:35	16:35 until 00:25 (Thu)	00:25 (Thu) until 05:10 (Thu)
Thu	10th	05:10 until 12:30	12:30 until 17:35	17:35 until 00:55 (Fri)	00:55 (Fri) until 05:55 (Fri)
Fri	11th	05:55 until 13:00	13:00 until 18:20	18:20 until 01:20 (Sat)	01:20 (Sat) until 06:35 (Sat)
Sat	12th	06:35 until 13:30	13:30 until 19:00	19:00 until 01:50 (Sun)	01:50 (Sun) until 07:10 (Sun)
Sun	13th	07:10 until 14:05	14:05 until 19:35	19:35 until 02:15 (Mon)	02:15 (Mon) until 07:35 (Mon)
Mon	14th	07:35 until 14:35	14:35 until 20:05	20:05 until 02:50 (Tue)	02:50 (Tue) until 08:05 (Tue)
Tue	15th	08:05 until 15:10	15:10 until 20:25	20:25 until 03:20 (Wed)	03:20 (Wed) until 08:30 (Wed)
Wed	16th	08:30 until 15:50	15:50 until 20:50	20:50 until 04:00 (Thu)	04:00 (Thu) until 08:50 (Thu)
Thu	17th	08:50 until 16:30	16:30 until 21:10	21:10 until 04:45 (Fri)	04:45 (Fri) until 09:15 (Fri)
Fri	18th	09:15 until 17:15	17:15 until 21:30	21:30 until 05:30 (Sat)	05:30 (Sat) until 09:35 (Sat)
Sat	19th	09:35 until 18:10	18:10 until 21:55	21:55 until 06:25 (Sun)	06:25 (Sun) until 10:05 (Sun)
Sun	20th	10:05 until 19:15	19:15 until 22:40	22:40 until 07:30 (Mon)	07:30 (Mon) until 10:50 (Mon)
Mon	21st	10:50 until 20:25	20:25 until 23:40	23:40 until 08:40 (Tue)	08:40 (Tue) until 12:00 (Tue)
Tue	22nd	12:00 until 21:40	21:40 until 01:15 (Wed)	01:15 (Wed) until 09:55 (Wed)	09:55 (Wed) until 13:35 (Wed)
Wed	23rd	01:15 until 09:55	09:55 until 13:35	13:35 until 22:40	22:40 until 02:55 (Thu)
Thu	24th	02:55 until 10:50	10:50 until 15:15	15:15 until 23:25	23:25 until 04:25 (Fri)
Fri	25th	04:25 until 11:25	11:25 until 16:45	16:45 until 00:00 (Sat)	00:00 (Sat) until 05:40 (Sat)
Sat	26th	05:40 until 12:00	12:00 until 18:00	18:00 until 00:30 (Sun)	00:30 (Sun) until 06:45 (Sun)
Sun	27th	06:45 until 12:35	12:35 until 19:10	19:10 until 01:10 (Mon)	01:10 (Mon) until 07:40 (Mon)
Mon	28th	07:40 until 13:15	13:15 until 20:10	20:10 until 01:50 (Tue)	01:50 (Tue) until 08:20 (Tue)
Tue	29th	08:20 until 14:00	14:00 until 20:55	20:55 until 02:40 (Wed)	02:40 (Wed) until 09:00 (Wed)
Wed	30th	09:00 until 15:00	15:00 until 21:35	21:35 until 03:35 (Thu)	03:35 (Thu) until 09:25 (Thu)
